Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1240087945861890049,church of england,42,59,ORG,0.6483
1240088080092024832,dallas morning news,58,77,ORG,0.7028
1240092865746702336,dutts,43,48,PER,0.6693
1240082266694524931,chinese wuhan coronavirus,72,97,MISC,0.8169
1240082266694524931,florida republica,122,139,LOC,0.7683
1240082531057373184,china,15,20,LOC,0.9999
1240082531057373184,hospital,37,45,LOC,0.5549
1240082531057373184,corona virus,93,105,MISC,0.7968
1240082531057373184,america,131,138,LOC,0.9999
1240087052387000320,mcconnell,18,27,PER,0.9492
1240087052387000320,coronavirus bill,45,61,MISC,0.8432
1240087467727958019,baltimore,73,82,LOC,0.9998
1240093503637590017,house,19,24,ORG,0.568
1240088113394958336,ginsberg,175,183,PER,0.9997
1240088113394958336,corona,189,195,PER,0.8438
1240082548035743744,meredith grey,17,30,PER,0.9938
1240088075830616064,boxhead,21,28,ORG,0.7824
1240081788531134464,senate,20,26,ORG,0.9995
1240081788531134464,rand paul,58,67,PER,0.9964
1240082573281419264,cuba,21,25,LOC,0.9992
1240082573281419264,china,121,126,LOC,0.9981
1240087459452485633,alberta,33,40,LOC,1
1240082644236292096,covid-19,18,26,MISC,0.9987
1240093763415883776,sotto,46,51,PER,0.9469
1240087727825133569,louisiana,31,40,LOC,0.9999
1240082128475430913,chinese,17,24,MISC,0.971
1240087052487663625,bros,65,69,LOC,0.29
1240081986095464448,vanessa hudgens,17,32,PER,0.9978
1240081986095464448,ashley tisdale,96,110,PER,0.9993
1240087333795442691,biden,57,62,PER,1
1240087333795442691,biden,105,110,PER,1
1240093625062580225,china,9,14,LOC,1
1240093625062580225,the new york times,47,65,ORG,0.9946
1240093625062580225,wall street journal,67,86,ORG,0.8826
1240093625062580225,washington post,91,106,ORG,0.7209
1240093625062580225,us media,108,116,ORG,0.8025
1240087270545182721,satlok,51,57,LOC,0.9997
1240087270545182721,chin,134,138,PER,0.7512
1240082015107645440,china,21,26,LOC,0.9594
1240093314751365121,covid-19,50,58,MISC,0.9224
1240093314751365121,sumer,133,138,LOC,0.9995
1240082359052947457,american,48,56,MISC,0.9996
1240082359052947457,china,106,111,LOC,1
1240082359052947457,us,126,128,LOC,0.9998
1240092660146171904,meredith grey,17,30,PER,0.9938
1240092916049235970,anthony fauci,102,115,PER,0.998
1240092916049235970,niaid,133,138,ORG,0.9926
1240082384394915841,cwu,22,25,ORG,0.9993
1240082384394915841,post office,40,51,ORG,0.9738
1240082350953947138,india,13,18,LOC,1
1240082497058136064,london,102,108,LOC,0.9995
1240081666858614785,ucp,17,20,ORG,0.9951
1240092752563638273,china one belt one road,76,99,MISC,0.7683
1240092752563638273,chinese,124,131,MISC,1
1240082556273537024,china,37,42,LOC,0.9592
1240087551798640640,florida,21,28,LOC,0.9999
1240082027828981761,vanessa hudgens,26,41,PER,0.9213
1240087488825352192,aries,35,40,LOC,0.4828
1240092689808457730,nyc,32,35,ORG,0.3472
1240087576641486849,boris,107,112,PER,0.9993
1240087912458285056,italy,104,109,LOC,0.9999
1240081864305582080,texas,30,35,LOC,0.802
1240081587347300365,chinese,38,45,MISC,1
1240087195219824642,trump,46,51,PER,0.9999
1240082032232988674,coronavirus,60,71,MISC,0.8827
1240093843254624257,america,75,82,LOC,0.9999
1240093843254624257,bernie,84,90,PER,1
1240093838745583617,az,106,108,LOC,0.9323
1240093838745583617,il,110,112,LOC,0.9998
1240093838745583617,fl,114,116,LOC,0.9887
1240093838745583617,joebiden,124,132,PER,0.8876
1240093587418693632,china,14,19,LOC,1
1240093587418693632,american,33,41,MISC,0.9945
1240093587418693632,chinese communist party,83,106,ORG,0.9241
1240092630903672832,joe biden,19,28,PER,0.9982
1240092630903672832,covid-19,55,63,MISC,0.9983
1240092630903672832,dnc,118,121,ORG,0.9991
1240092597562953728,mexico,14,20,LOC,0.9999
1240081570670600193,coronavirus,41,52,MISC,0.9995
1240081570670600193,chinese,59,66,MISC,1
1240088293812903942,dem,61,64,MISC,0.9999
1240087870582542336,china,45,50,LOC,1
1240087870582542336,covid19,103,110,MISC,0.9679
1240093222619222016,csu,15,18,ORG,0.5735
1240088185062830081,south korea,60,71,LOC,0.9995
1240088185062830081,italy,124,129,LOC,1
1240087300115136514,coronavirus,56,67,MISC,0.984
1240081856026025984,biden,52,57,PER,0.9993
1240081856026025984,chicago,88,95,LOC,0.9998
1240093373492604929,chicago midway international airport,45,81,LOC,0.953
1240087748800909319,republicans,23,34,MISC,0.9434
1240087748800909319,coronavi,131,139,MISC,0.9917
1240093167954862080,bernie!!!????,80,93,PER,0.8251
1240093167954862080,america,124,131,LOC,0.9996
1240088235277201409,amazon,47,53,MISC,0.45
1240088235277201409,kshama sawant,123,136,PER,0.8866
1240093767643865089,ubi,31,34,ORG,0.9946
1240087245413142528,us,75,77,LOC,0.9997
1240087446848778241,africa,37,43,LOC,0.9863
1240087446848778241,china,123,128,LOC,1
1240082191465545728,china,50,55,LOC,1
1240087564046028806,wic,105,108,ORG,0.6881
1240088025687658496,fauci,46,51,PER,0.9991
1240092836546183168,quaran-teens,99,111,MISC,0.9602
1240088252226437120,new yorkistan,23,36,LOC,0.9962
1240088252226437120,philadelphia,38,50,LOC,0.9999
1240088252226437120,commifornia &amp,52,68,LOC,0.8063
1240088252226437120,washington,74,84,LOC,0.9973
1240093176104280066,trudeau,103,110,PER,0.6086
1240093176104280066,trudeau,123,130,PER,0.999
1240082090659647488,navy,42,46,ORG,0.3816
1240082090659647488,san diego training support center,54,87,ORG,0.8189
1240082493274873857,netflix,131,138,ORG,0.4725
1240088121078841349,wuhan,60,65,LOC,0.9853
1240088121078841349,china,66,71,LOC,0.7296
1240088121078841349,chinese,112,119,MISC,0.9952
1240087220163395585,biden,57,62,PER,1
1240087220163395585,biden,105,110,PER,1
1240081864213200896,the scientist magazine,89,111,ORG,0.8143
1240087937594699777,coronavirus,29,40,MISC,0.7622
1240087937594699777,korea,44,49,LOC,0.9101
1240087937594699777,korea,87,92,LOC,0.9994
1240087937594699777,coronavi,131,139,PER,0.6941
1240081457424617474,amazon,19,25,ORG,0.9975
1240081457424617474,jonathan bailey,119,134,PER,0.9999
1240093272682278912,dave,10,14,PER,1
1240093272682278912,dave,110,114,PER,0.9999
1240087283480399873,west virginia,0,13,LOC,0.9687
1240087283480399873,covid-19,43,51,MISC,0.8981
